game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
83457938-4298-42aa-a76b-4a4e2179ddac,1,Live Chess,Chess.com,2021.04.30,-,jiit9124,nopogodi,1/2-1/2,1224,,1269,,,,draw,,draw,,0,E00,Game drawn by agreement,900+10,2021.04.30,17:16:30,,,2023-10-24T16:56:37+0000,2021-04.pgn
5e73f782-5c79-467e-b1e9-37df76aa773b,2,Live Chess,Chess.com,2021.04.28,-,jiit9124,Bmonte076,0-1,1223,,1282,,,,Bmonte076,1282,jiit9124,1223,59,D00,Bmonte076 won by resignation,900+10,2021.04.28,19:06:39,,,2023-10-24T16:56:37+0000,2021-04.pgn
bee86f50-30a6-49ef-ac6b-3db6c0a1030e,3,Live Chess,Chess.com,2021.04.27,-,jiit9124,Tadey_IF,1-0,1230,,1225,,,,jiit9124,1230,Tadey_IF,1225,5,D20,jiit9124 won by resignation,900+10,2021.04.27,17:37:46,,,2023-10-24T16:56:37+0000,2021-04.pgn
7f904f17-2c0c-4432-898c-c51694f3a228,4,Live Chess,Chess.com,2021.04.27,-,unmicroed,jiit9124,0-1,1216,,1221,,,,jiit9124,1221,unmicroed,1216,5,B13,jiit9124 won by resignation,900+10,2021.04.27,17:23:49,,,2023-10-24T16:56:37+0000,2021-04.pgn
602c3188-9bbf-404d-8aa6-628d4a9db3f2,5,Live Chess,Chess.com,2021.04.25,-,jiit9124,parasnazeer21,1-0,1213,,1106,,,,jiit9124,1213,parasnazeer21,1106,107,D00,jiit9124 won by checkmate,900+10,2021.04.25,16:10:02,,,2023-10-24T16:56:37+0000,2021-04.pgn
69791984-eb24-4596-909e-86d40f47a1b7,6,Live Chess,Chess.com,2021.04.25,-,Gsliprandi,jiit9124,1-0,1199,,1207,,,,Gsliprandi,1199,jiit9124,1207,-8,B01,Gsliprandi won by resignation,900+10,2021.04.25,15:29:04,,,2023-10-24T16:56:37+0000,2021-04.pgn
51369f50-79e4-4b48-be44-547fc9624152,7,Live Chess,Chess.com,2021.04.23,-,foratraqqa,jiit9124,1-0,1192,,1216,,,,foratraqqa,1192,jiit9124,1216,-24,B01,foratraqqa won by resignation,900+10,2021.04.23,19:08:30,,,2023-10-24T16:56:37+0000,2021-04.pgn
7e04112c-661a-4dac-b6b2-8bf5f4849618,8,Live Chess,Chess.com,2021.04.22,-,Andor1905,jiit9124,0-1,1220,,1225,,,,jiit9124,1225,Andor1905,1220,5,B01,jiit9124 won by resignation,900+10,2021.04.22,17:17:54,,,2023-10-24T16:56:37+0000,2021-04.pgn
16ddfbf7-5dd5-4f4b-913f-a30147a20ddd,9,Live Chess,Chess.com,2021.04.22,-,jiit9124,Nicolochoco,0-1,1217,,1152,,,,Nicolochoco,1152,jiit9124,1217,-65,D00,Nicolochoco won by resignation,900+10,2021.04.22,17:05:05,,,2023-10-24T16:56:37+0000,2021-04.pgn
39f1f69d-bb49-41bf-99b7-8464966ccd7a,10,Live Chess,Chess.com,2021.04.22,-,Kjebjoe2,jiit9124,0-1,1200,,1227,,,,jiit9124,1227,Kjebjoe2,1200,27,B10,jiit9124 won - game abandoned,900+10,2021.04.22,16:46:51,,,2023-10-24T16:56:37+0000,2021-04.pgn
