game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
3d45f41b-82ae-47ae-9175-113411cccd46,1,Live Chess,Chess.com,2023.03.31,-,jiit9124,newbieplayer007,0-1,1492,,1647,,,,newbieplayer007,1647,jiit9124,1492,155,D00,newbieplayer007 won by resignation,600,2023.03.31,16:10:15,,,2023-10-24T16:58:06+0000,2023-03.pgn
4fd551ff-c491-4cd6-b540-432474be9616,2,Live Chess,Chess.com,2023.03.30,-,raoshailesh41,jiit9124,1-0,1532,,1497,,,,raoshailesh41,1532,jiit9124,1497,35,D00,raoshailesh41 won by resignation,600,2023.03.30,20:03:10,,,2023-10-24T16:58:06+0000,2023-03.pgn
5810cddb-00c4-4f0b-ad55-1149e2c8c981,3,Live Chess,Chess.com,2023.03.30,-,oktay447,jiit9124,0-1,1524,,1505,,,,jiit9124,1505,oktay447,1524,-19,B15,jiit9124 won by resignation,600,2023.03.30,19:53:32,,,2023-10-24T16:58:06+0000,2023-03.pgn
8e43f22f-6b16-4981-a46e-79db0c98544d,4,Live Chess,Chess.com,2023.03.30,-,jiit9124,aleksandr270969,1-0,1496,,1471,,,,jiit9124,1496,aleksandr270969,1471,25,D00,jiit9124 won on time,600,2023.03.30,19:38:20,,,2023-10-24T16:58:07+0000,2023-03.pgn
703b9fad-c11a-4641-a197-3a28a2dae2fe,5,Live Chess,Chess.com,2023.03.30,-,jiit9124,papamirza,0-1,1488,,1495,,,,papamirza,1495,jiit9124,1488,7,A50,papamirza won by resignation,600,2023.03.30,16:02:22,,,2023-10-24T16:58:07+0000,2023-03.pgn
e08f4c95-4957-48eb-b9a1-0f6330f4f158,6,Live Chess,Chess.com,2023.03.29,-,v9k9n9,jiit9124,1-0,1478,,1496,,,,v9k9n9,1478,jiit9124,1496,-18,B10,v9k9n9 won by resignation,600,2023.03.29,12:49:16,,,2023-10-24T16:58:07+0000,2023-03.pgn
fc30da7a-6b22-49f3-a56b-11f788e6322b,7,Live Chess,Chess.com,2023.03.29,-,HPF3,jiit9124,1-0,1489,,1505,,,,HPF3,1489,jiit9124,1505,-16,B30,HPF3 won by resignation,600,2023.03.29,12:34:39,,,2023-10-24T16:58:07+0000,2023-03.pgn
2a5bc0a1-cf70-4ab5-810b-811c221346ba,8,Live Chess,Chess.com,2023.03.28,-,leonets,jiit9124,0-1,1462,,1514,,,,jiit9124,1514,leonets,1462,52,B21,jiit9124 won by resignation,600,2023.03.28,15:57:24,,,2023-10-24T16:58:07+0000,2023-03.pgn
98570d94-ca86-4a7a-9672-7ef50355f514,9,Live Chess,Chess.com,2023.03.26,-,jiit9124,sapunibk,0-1,1507,,1515,,,,sapunibk,1515,jiit9124,1507,8,D00,sapunibk won by checkmate,600,2023.03.26,16:17:48,,,2023-10-24T16:58:07+0000,2023-03.pgn
0246a984-d9d9-4896-83aa-a384c7605091,10,Live Chess,Chess.com,2023.03.26,-,jiit9124,PhilipHildebrand,1-0,1515,,1505,,,,jiit9124,1515,PhilipHildebrand,1505,10,A40,jiit9124 won by resignation,600,2023.03.26,12:25:41,,,2023-10-24T16:58:07+0000,2023-03.pgn
