game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
7d5fd681-2e65-43f9-8ce4-82b86169a109,1,Live Chess,Chess.com,2020.04.29,-,jiit9124,zugirdor,0-1,845,,882,,,,zugirdor,882,jiit9124,845,37,C40,zugirdor won by checkmate,600,2020.04.29,06:43:59,,,2023-10-24T16:56:14+0000,2020-04.pgn
313eaa89-bd69-4c79-8fb4-27eaec1c545f,2,Live Chess,Chess.com,2020.04.28,-,jiit9124,aspatil1006,1/2-1/2,897,,869,,,,draw,,draw,,0,C20,Game drawn by repetition,600,2020.04.28,09:18:13,,,2023-10-24T16:56:14+0000,2020-04.pgn
c52003a2-3878-41ec-89f9-216bb6cf5d4e,3,Live Chess,Chess.com,2020.04.28,-,DoNaT2K,jiit9124,1-0,954,,795,,,,DoNaT2K,954,jiit9124,795,159,B01,DoNaT2K won by checkmate,900+10,2020.04.28,08:35:09,,,2023-10-24T16:56:14+0000,2020-04.pgn
55388fdd-e538-4bdf-9809-af4f1a6eb274,4,Live Chess,Chess.com,2020.04.28,-,khan2260,jiit9124,0-1,827,,902,,,,jiit9124,902,khan2260,827,75,B10,jiit9124 won by checkmate,600,2020.04.28,08:19:11,,,2023-10-24T16:56:14+0000,2020-04.pgn
ed4ad15d-b1c4-4fec-9956-5dce2892599b,5,Live Chess,Chess.com,2020.04.27,-,jiit9124,solankigaurav26,1-0,833,,818,,,,jiit9124,833,solankigaurav26,818,15,C41,jiit9124 won on time,600,2020.04.27,10:10:45,,,2023-10-24T16:56:14+0000,2020-04.pgn
1ed4dfb7-d734-411e-a145-639bc7b5cc62,6,Live Chess,Chess.com,2020.04.27,-,fratiswira,jiit9124,1-0,864,,735,,,,fratiswira,864,jiit9124,735,129,C20,fratiswira won by resignation,600,2020.04.27,10:00:45,,,2023-10-24T16:56:14+0000,2020-04.pgn
b2b44dd1-5897-4dc1-9a45-a75a43ff93fd,7,Live Chess,Chess.com,2020.04.27,-,AndryFil,jiit9124,1/2-1/2,790,,822,,,,draw,,draw,,0,C40,Game drawn by repetition,600,2020.04.27,09:43:58,,,2023-10-24T16:56:14+0000,2020-04.pgn
8b86f1a4-aa44-47b2-ad99-f03fe996d302,8,Live Chess,Chess.com,2020.04.27,-,jiit9124,nima04,0-1,840,,1097,,,,nima04,1097,jiit9124,840,257,C20,nima04 won by resignation,600,2020.04.27,09:34:37,,,2023-10-24T16:56:14+0000,2020-04.pgn
