game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
83acd3b8-be87-4325-9063-dd2d8f8a27d9,1,Live Chess,Chess.com,2020.07.23,-,kigakay,jiit9124,1-0,993,,1009,,,,kigakay,993,jiit9124,1009,-16,D21,kigakay won by resignation,600,2020.07.23,05:18:50,,,2023-10-24T16:56:20+0000,2020-07.pgn
a6c42220-053a-4cd5-b441-3b49074e3234,2,Live Chess,Chess.com,2020.07.22,-,JakeSnellin,jiit9124,1-0,1022,,1018,,,,JakeSnellin,1022,jiit9124,1018,4,B01,JakeSnellin won by resignation,600,2020.07.22,18:56:58,,,2023-10-24T16:56:20+0000,2020-07.pgn
894439ae-7fee-4f12-a405-4981c64e2697,3,Live Chess,Chess.com,2020.07.22,-,nikolasc14,jiit9124,0-1,1010,,1026,,,,jiit9124,1026,nikolasc14,1010,16,B06,jiit9124 won by checkmate,600,2020.07.22,16:38:30,,,2023-10-24T16:56:20+0000,2020-07.pgn
b370d689-c5b9-41a3-87f0-5f7b1ff69746,4,Live Chess,Chess.com,2020.07.22,-,jiit9124,nikolasc14,1-0,1018,,1018,,,,jiit9124,1018,nikolasc14,1018,0,D00,jiit9124 won by checkmate,600,2020.07.22,16:31:07,,,2023-10-24T16:56:20+0000,2020-07.pgn
76ffa6d8-72e1-4d77-bdd0-9386e6401271,5,Live Chess,Chess.com,2020.07.22,-,jiit9124,Ghostdragon777,1-0,1010,,1024,,,,jiit9124,1010,Ghostdragon777,1024,-14,A80,jiit9124 won by checkmate,600,2020.07.22,05:20:27,,,2023-10-24T16:56:20+0000,2020-07.pgn
3e311d16-1091-479e-bb28-617a9501bd78,6,Live Chess,Chess.com,2020.07.21,-,jiit9124,HoloHorizon96,1-0,1001,,1006,,,,jiit9124,1001,HoloHorizon96,1006,-5,A45,jiit9124 won by resignation,600,2020.07.21,16:34:56,,,2023-10-24T16:56:20+0000,2020-07.pgn
43066860-2557-4c60-aadb-dc6f60767415,7,Live Chess,Chess.com,2020.07.20,-,WhiteDudeDaniel,jiit9124,0-1,1016,,993,,,,jiit9124,993,WhiteDudeDaniel,1016,-23,B01,jiit9124 won by resignation,600,2020.07.20,07:34:32,,,2023-10-24T16:56:20+0000,2020-07.pgn
13b00d45-a99e-47bf-91b5-ed0a94903957,8,Live Chess,Chess.com,2020.07.19,-,sujanrai5,jiit9124,0-1,1118,,984,,,,jiit9124,984,sujanrai5,1118,-134,D00,jiit9124 won by checkmate,600,2020.07.19,19:26:48,,,2023-10-24T16:56:20+0000,2020-07.pgn
82fbb5e3-aa0c-4eb8-82f9-8b795b6fd1a0,9,Live Chess,Chess.com,2020.07.19,-,bodler1972,jiit9124,1/2-1/2,766,,973,,,,draw,,draw,,0,B01,Game drawn by stalemate,600,2020.07.19,19:10:04,,,2023-10-24T16:56:20+0000,2020-07.pgn
b57e13f3-06c4-45ea-8eea-a98cb2f55da2,10,Live Chess,Chess.com,2020.07.19,-,jiit9124,ricky20017,0-1,977,,1009,,,,ricky20017,1009,jiit9124,977,32,C23,ricky20017 won by checkmate,600,2020.07.19,19:07:32,,,2023-10-24T16:56:20+0000,2020-07.pgn
929c6bf8-21ee-4f7b-b5e0-5e5cec8025d2,11,Live Chess,Chess.com,2020.07.19,-,jiit9124,PompousChimp,1-0,985,,984,,,,jiit9124,985,PompousChimp,984,1,D00,jiit9124 won by resignation,600,2020.07.19,18:54:35,,,2023-10-24T16:56:20+0000,2020-07.pgn
