game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
a31193d7-7362-4e66-a017-76b57d4e295a,1,Live Chess,Chess.com,2021.07.17,-,jiit9124,PaleozoicPawn,0-1,1296,,1279,,,,PaleozoicPawn,1279,jiit9124,1296,-17,D00,PaleozoicPawn won by checkmate,600,2021.07.17,19:50:54,,,2023-10-24T16:57:21+0000,2021-07.pgn
d9cfdc4d-f5e0-4689-a761-80f3cd927297,2,Live Chess,Chess.com,2021.07.17,-,jghawk,jiit9124,0-1,1314,,1305,,,,jiit9124,1305,jghawk,1314,-9,B12,jiit9124 won - game abandoned,600,2021.07.17,19:35:53,,,2023-10-24T16:57:21+0000,2021-07.pgn
189ed87e-a9a3-41bb-b19c-d6246a8293e2,3,Live Chess,Chess.com,2021.07.17,-,jiit9124,malypawel87,0-1,1296,,1295,,,,malypawel87,1295,jiit9124,1296,-1,E61,malypawel87 won by resignation,600,2021.07.17,19:31:37,,,2023-10-24T16:57:21+0000,2021-07.pgn
f40643cc-86c3-43c1-9d74-067208bb199d,4,Live Chess,Chess.com,2021.07.17,-,jiit9124,klukk,1-0,1304,,1280,,,,jiit9124,1304,klukk,1280,24,D00,jiit9124 won by resignation,600,2021.07.17,18:54:29,,,2023-10-24T16:57:21+0000,2021-07.pgn
689f6e89-12d0-4ae8-8873-19da7331af65,5,Live Chess,Chess.com,2021.07.17,-,KakaTop,jiit9124,0-1,1266,,1296,,,,jiit9124,1296,KakaTop,1266,30,A00,jiit9124 won by checkmate,600,2021.07.17,18:36:15,,,2023-10-24T16:57:21+0000,2021-07.pgn
5a1370f7-09ad-4d9f-aa60-6883c07b6cde,6,Live Chess,Chess.com,2021.07.17,-,jiit9124,gazatf,1-0,1288,,1291,,,,jiit9124,1288,gazatf,1291,-3,D00,jiit9124 won by resignation,600,2021.07.17,18:21:42,,,2023-10-24T16:57:21+0000,2021-07.pgn
1536462c-fdef-40ba-8f64-c89aa830688c,7,Live Chess,Chess.com,2021.07.13,-,aaronflores8,jiit9124,0-1,1267,,1280,,,,jiit9124,1280,aaronflores8,1267,13,B51,jiit9124 won by resignation,600,2021.07.13,17:50:51,,,2023-10-24T16:57:21+0000,2021-07.pgn
8a85ed59-270d-4704-bb3f-f2c05f29e019,8,Live Chess,Chess.com,2021.07.13,-,Suhovey,jiit9124,0-1,1274,,1272,,,,jiit9124,1272,Suhovey,1274,-2,B10,jiit9124 won by checkmate,600,2021.07.13,17:39:38,,,2023-10-24T16:57:21+0000,2021-07.pgn
a793ab50-44e8-455c-a999-4b84f63c191a,9,Live Chess,Chess.com,2021.07.13,-,jiit9124,daddydoitall2,0-1,1264,,1221,,,,daddydoitall2,1221,jiit9124,1264,-43,D00,daddydoitall2 won by resignation,600,2021.07.13,17:21:29,,,2023-10-24T16:57:21+0000,2021-07.pgn
f5de2a37-ab4e-4a98-8efb-9c7d67775382,10,Live Chess,Chess.com,2021.07.09,-,Rhonald2021,jiit9124,1-0,1256,,1264,,,,Rhonald2021,1256,jiit9124,1264,-8,D02,Rhonald2021 won by resignation,900+10,2021.07.09,17:40:47,,,2023-10-24T16:57:21+0000,2021-07.pgn
