game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
34ac6384-5137-4afc-96da-9f99c1e47ddc,1,Live Chess,Chess.com,2021.04.30,-,jiit912,rvbl69,0-1,1296,,1341,,,,rvbl69,1341,jiit912,1296,45,D00,rvbl69 won by resignation,900+10,2021.04.30,13:02:45,,,2023-10-24T17:39:23+0000,jiit9122021-04.pgn
cdebf80e-d645-4de9-a0a1-ea7e8550fc66,2,Live Chess,Chess.com,2021.04.29,-,Slickrick1958,jiit912,0-1,1288,,1303,,,,jiit912,1303,Slickrick1958,1288,15,B01,jiit912 won by resignation,900+10,2021.04.29,14:26:17,,,2023-10-24T17:39:23+0000,jiit9122021-04.pgn
ebc328c1-645f-473e-a8bb-72fb6b66b469,3,Live Chess,Chess.com,2021.04.28,-,jiit912,nujazzbes,1-0,1295,,1208,,,,jiit912,1295,nujazzbes,1208,87,D10,jiit912 won on time,900+10,2021.04.28,12:14:20,,,2023-10-24T17:39:23+0000,jiit9122021-04.pgn
37a867cf-be7c-41c4-a4ed-6152410aedc6,4,Live Chess,Chess.com,2021.04.28,-,jiit912,Aymanwaheed,0-1,1289,,1385,,,,Aymanwaheed,1385,jiit912,1289,96,A51,Aymanwaheed won by resignation,900+10,2021.04.28,10:59:40,,,2023-10-24T17:39:23+0000,jiit9122021-04.pgn
18aa41a3-8019-44b4-8204-dd99fb8daa4b,5,Live Chess,Chess.com,2021.04.27,-,oriiica,jiit912,0-1,1271,,1295,,,,jiit912,1295,oriiica,1271,24,A00,jiit912 won by checkmate,900+10,2021.04.27,11:14:42,,,2023-10-24T17:39:23+0000,jiit9122021-04.pgn
d913d6a4-4822-47cd-b5ce-d5d7124ce8ed,6,Live Chess,Chess.com,2021.04.27,-,jiit912,Not_What_You_Want,0-1,1286,,1396,,,,Not_What_You_Want,1396,jiit912,1286,110,A40,Not_What_You_Want won by resignation,900+10,2021.04.27,11:09:59,,,2023-10-24T17:39:23+0000,jiit9122021-04.pgn
aeec93ec-f525-4244-96b9-eeb3c1a2d45e,7,Live Chess,Chess.com,2021.04.26,-,hudsonjc,jiit912,0-1,1328,,1292,,,,jiit912,1292,hudsonjc,1328,-36,D10,jiit912 won by resignation,900+10,2021.04.26,14:05:49,,,2023-10-24T17:39:23+0000,jiit9122021-04.pgn
7c033ab4-371f-452b-b463-dc6c7b4658f1,8,Live Chess,Chess.com,2021.04.23,-,likmik,jiit912,1-0,1268,,1283,,,,likmik,1268,jiit912,1283,-15,D00,likmik won by resignation,900+10,2021.04.23,14:51:28,,,2023-10-24T17:39:24+0000,jiit9122021-04.pgn
e44bffb8-e45c-468f-9b03-9e938551a1ac,9,Live Chess,Chess.com,2021.04.22,-,jiit912,SurgutDVO,1-0,1292,,1273,,,,jiit912,1292,SurgutDVO,1273,19,D00,jiit912 won by resignation,900+10,2021.04.22,12:56:07,,,2023-10-24T17:39:24+0000,jiit9122021-04.pgn
cf38799a-e41f-49f6-a5e4-fba952c4fec8,10,Live Chess,Chess.com,2021.04.22,-,shad0wsaint,jiit912,0-1,1214,,1284,,,,jiit912,1284,shad0wsaint,1214,70,B23,jiit912 won by resignation,900+10,2021.04.22,05:34:04,,,2023-10-24T17:39:24+0000,jiit9122021-04.pgn
