game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
093f951c-d207-46c5-88fd-2494e1d35a00,1,1,samwheeler7,e4,e2e4,e2,e4,P,White,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,7,0,1,0,0,0,0,31,7,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,31,e4
093f951c-d207-46c5-88fd-2494e1d35a00,2,1,jiit9124,c6,c7c6,c7,c6,P,Black,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,7,0,1,0,0,0,0,31,7,0,1,0,0,0,0,0,0,0,0,0,1,7,8,0,0,0,0,0,1,7,31,e4|c6
093f951c-d207-46c5-88fd-2494e1d35a00,3,2,samwheeler7,Bc4,f1c4,f1,c4,B,White,rnbqkbnr/pp1ppppp/2p5/8/2B1P3/8/PPPP1PPP/RNBQK1NR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,7,7,0,2,0,0,0,0,28,7,0,4,0,0,0,0,0,0,0,0,0,1,7,8,0,0,0,0,0,1,7,31,e4|c6|Bc4
093f951c-d207-46c5-88fd-2494e1d35a00,4,2,jiit9124,d5,d7d5,d7,d5,P,Black,rnbqkbnr/pp2pppp/2p5/3p4/2B1P3/8/PPPP1PPP/RNBQK1NR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,7,7,0,2,0,0,0,0,28,7,0,4,0,0,0,0,0,0,0,0,1,1,6,8,0,0,0,0,1,1,6,31,e4|c6|Bc4|d5
093f951c-d207-46c5-88fd-2494e1d35a00,5,3,samwheeler7,exd5,e4d5,e4,d5,P,White,rnbqkbnr/pp2pppp/2p5/3P4/2B5/8/PPPP1PPP/RNBQK1NR,0,0,0,0,0,0,16,15,8,7,1,1,2,2,2,2,2,2,1,0,7,7,0,1,1,0,0,0,28,7,0,3,1,0,0,0,0,0,0,0,0,1,6,8,0,0,0,0,0,1,6,31,e4|c6|Bc4|d5|exd5
093f951c-d207-46c5-88fd-2494e1d35a00,6,3,jiit9124,cxd5,c6d5,c6,d5,P,Black,rnbqkbnr/pp2pppp/8/3p4/2B5/8/PPPP1PPP/RNBQK1NR,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,7,7,0,1,0,0,0,0,28,7,0,3,0,0,0,0,0,0,0,0,1,0,6,8,0,0,0,0,1,0,6,31,e4|c6|Bc4|d5|exd5|cxd5
093f951c-d207-46c5-88fd-2494e1d35a00,7,4,samwheeler7,Bb3,c4b3,c4,b3,B,White,rnbqkbnr/pp2pppp/8/3p4/8/1B6/PPPP1PPP/RNBQK1NR,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,7,7,1,0,0,0,0,0,28,7,3,0,0,0,0,0,0,0,0,0,1,0,6,8,0,0,0,0,1,0,6,31,e4|c6|Bc4|d5|exd5|cxd5|Bb3
093f951c-d207-46c5-88fd-2494e1d35a00,8,4,jiit9124,Nc6,b8c6,b8,c6,N,Black,r1bqkbnr/pp2pppp/2n5/3p4/8/1B6/PPPP1PPP/RNBQK1NR,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,7,7,1,0,0,0,0,0,28,7,3,0,0,0,0,0,0,0,0,0,1,1,6,7,0,0,0,0,1,3,6,28,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6
093f951c-d207-46c5-88fd-2494e1d35a00,9,5,samwheeler7,Nf3,g1f3,g1,f3,N,White,r1bqkbnr/pp2pppp/2n5/3p4/8/1B3N2/PPPP1PPP/RNBQK2R,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,6,7,2,0,0,0,0,0,25,7,6,0,0,0,0,0,0,0,0,0,1,1,6,7,0,0,0,0,1,3,6,28,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3
093f951c-d207-46c5-88fd-2494e1d35a00,10,5,jiit9124,e6,e7e6,e7,e6,P,Black,r1bqkbnr/pp3ppp/2n1p3/3p4/8/1B3N2/PPPP1PPP/RNBQK2R,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,6,7,2,0,0,0,0,0,25,7,6,0,0,0,0,0,0,0,0,0,1,2,5,7,0,0,0,0,1,4,5,28,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6
093f951c-d207-46c5-88fd-2494e1d35a00,11,6,samwheeler7,O-O,e1g1,e1,g1,K,White,r1bqkbnr/pp3ppp/2n1p3/3p4/8/1B3N2/PPPP1PPP/RNBQ1RK1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,6,7,2,0,0,0,0,0,25,7,6,0,0,0,0,0,0,0,0,0,1,2,5,7,0,0,0,0,1,4,5,28,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O
093f951c-d207-46c5-88fd-2494e1d35a00,12,6,jiit9124,Nf6,g8f6,g8,f6,N,Black,r1bqkb1r/pp3ppp/2n1pn2/3p4/8/1B3N2/PPPP1PPP/RNBQ1RK1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,6,7,2,0,0,0,0,0,25,7,6,0,0,0,0,0,0,0,0,0,1,3,5,6,0,0,0,0,1,7,5,25,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6
093f951c-d207-46c5-88fd-2494e1d35a00,13,7,samwheeler7,h3,h2h3,h2,h3,P,White,r1bqkb1r/pp3ppp/2n1pn2/3p4/8/1B3N1P/PPPP1PP1/RNBQ1RK1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,6,6,3,0,0,0,0,0,25,6,7,0,0,0,0,0,0,0,0,0,1,3,5,6,0,0,0,0,1,7,5,25,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3
093f951c-d207-46c5-88fd-2494e1d35a00,14,7,jiit9124,Bc5,f8c5,f8,c5,B,Black,r1bqk2r/pp3ppp/2n1pn2/2bp4/8/1B3N1P/PPPP1PP1/RNBQ1RK1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,6,6,3,0,0,0,0,0,25,6,7,0,0,0,0,0,0,0,0,0,2,3,5,5,0,0,0,0,4,7,5,22,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5
093f951c-d207-46c5-88fd-2494e1d35a00,15,8,samwheeler7,d3,d2d3,d2,d3,P,White,r1bqk2r/pp3ppp/2n1pn2/2bp4/8/1B1P1N1P/PPP2PP1/RNBQ1RK1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,6,5,4,0,0,0,0,0,25,5,8,0,0,0,0,0,0,0,0,0,2,3,5,5,0,0,0,0,4,7,5,22,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3
093f951c-d207-46c5-88fd-2494e1d35a00,16,8,jiit9124,O-O,e8g8,e8,g8,K,Black,r1bq1rk1/pp3ppp/2n1pn2/2bp4/8/1B1P1N1P/PPP2PP1/RNBQ1RK1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,6,5,4,0,0,0,0,0,25,5,8,0,0,0,0,0,0,0,0,0,2,3,5,5,0,0,0,0,4,7,5,22,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O
093f951c-d207-46c5-88fd-2494e1d35a00,17,9,samwheeler7,Re1,f1e1,f1,e1,R,White,r1bq1rk1/pp3ppp/2n1pn2/2bp4/8/1B1P1N1P/PPP2PP1/RNBQR1K1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,6,5,4,0,0,0,0,0,25,5,8,0,0,0,0,0,0,0,0,0,2,3,5,5,0,0,0,0,4,7,5,22,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O|Re1
093f951c-d207-46c5-88fd-2494e1d35a00,18,9,jiit9124,Re8,f8e8,f8,e8,R,Black,r1bqr1k1/pp3ppp/2n1pn2/2bp4/8/1B1P1N1P/PPP2PP1/RNBQR1K1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,6,5,4,0,0,0,0,0,25,5,8,0,0,0,0,0,0,0,0,0,2,3,5,5,0,0,0,0,4,7,5,22,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O|Re1|Re8
093f951c-d207-46c5-88fd-2494e1d35a00,19,10,samwheeler7,Qe2,d1e2,d1,e2,Q,White,r1bqr1k1/pp3ppp/2n1pn2/2bp4/8/1B1P1N1P/PPP1QPP1/RNB1R1K1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,5,6,4,0,0,0,0,0,16,14,8,0,0,0,0,0,0,0,0,0,2,3,5,5,0,0,0,0,4,7,5,22,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O|Re1|Re8|Qe2
093f951c-d207-46c5-88fd-2494e1d35a00,20,10,jiit9124,Qd6,d8d6,d8,d6,Q,Black,r1b1r1k1/pp3ppp/2nqpn2/2bp4/8/1B1P1N1P/PPP1QPP1/RNB1R1K1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,5,6,4,0,0,0,0,0,16,14,8,0,0,0,0,0,0,0,0,0,2,4,5,4,0,0,0,0,4,16,5,13,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O|Re1|Re8|Qe2|Qd6
093f951c-d207-46c5-88fd-2494e1d35a00,21,11,samwheeler7,Be3,c1e3,c1,e3,B,White,r1b1r1k1/pp3ppp/2nqpn2/2bp4/8/1B1PBN1P/PPP1QPP1/RN2R1K1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,4,6,5,0,0,0,0,0,13,14,11,0,0,0,0,0,0,0,0,0,2,4,5,4,0,0,0,0,4,16,5,13,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O|Re1|Re8|Qe2|Qd6|Be3
093f951c-d207-46c5-88fd-2494e1d35a00,22,11,jiit9124,d4,d5d4,d5,d4,P,Black,r1b1r1k1/pp3ppp/2nqpn2/2b5/3p4/1B1PBN1P/PPP1QPP1/RN2R1K1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,4,6,5,0,0,0,0,0,13,14,11,0,0,0,0,0,0,0,0,1,1,4,5,4,0,0,0,1,3,16,5,13,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O|Re1|Re8|Qe2|Qd6|Be3|d4
093f951c-d207-46c5-88fd-2494e1d35a00,23,12,samwheeler7,Bd2,e3d2,e3,d2,B,White,r1b1r1k1/pp3ppp/2nqpn2/2b5/3p4/1B1P1N1P/PPPBQPP1/RN2R1K1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,4,7,4,0,0,0,0,0,13,17,8,0,0,0,0,0,0,0,0,1,1,4,5,4,0,0,0,1,3,16,5,13,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O|Re1|Re8|Qe2|Qd6|Be3|d4|Bd2
093f951c-d207-46c5-88fd-2494e1d35a00,24,12,jiit9124,e5,e6e5,e6,e5,P,Black,r1b1r1k1/pp3ppp/2nq1n2/2b1p3/3p4/1B1P1N1P/PPPBQPP1/RN2R1K1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,4,7,4,0,0,0,0,0,13,17,8,0,0,0,0,0,0,0,0,1,2,3,5,4,0,0,0,1,4,15,5,13,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O|Re1|Re8|Qe2|Qd6|Be3|d4|Bd2|e5
093f951c-d207-46c5-88fd-2494e1d35a00,25,13,samwheeler7,Nh4,f3h4,f3,h4,N,White,r1b1r1k1/pp3ppp/2nq1n2/2b1p3/3p3N/1B1P3P/PPPBQPP1/RN2R1K1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,4,7,3,1,0,0,0,0,13,17,5,3,0,0,0,0,0,0,0,1,2,3,5,4,0,0,0,1,4,15,5,13,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O|Re1|Re8|Qe2|Qd6|Be3|d4|Bd2|e5|Nh4
093f951c-d207-46c5-88fd-2494e1d35a00,26,13,jiit9124,Bd7,c8d7,c8,d7,B,Black,r3r1k1/pp1b1ppp/2nq1n2/2b1p3/3p3N/1B1P3P/PPPBQPP1/RN2R1K1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,4,7,3,1,0,0,0,0,13,17,5,3,0,0,0,0,0,0,0,1,2,3,6,3,0,0,0,1,4,15,8,10,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O|Re1|Re8|Qe2|Qd6|Be3|d4|Bd2|e5|Nh4|Bd7
093f951c-d207-46c5-88fd-2494e1d35a00,27,14,samwheeler7,c3,c2c3,c2,c3,P,White,r3r1k1/pp1b1ppp/2nq1n2/2b1p3/3p3N/1BPP3P/PP1BQPP1/RN2R1K1,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,4,6,4,1,0,0,0,0,13,16,6,3,0,0,0,0,0,0,0,1,2,3,6,3,0,0,0,1,4,15,8,10,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O|Re1|Re8|Qe2|Qd6|Be3|d4|Bd2|e5|Nh4|Bd7|c3
093f951c-d207-46c5-88fd-2494e1d35a00,28,14,jiit9124,dxc3,d4c3,d4,c3,P,Black,r3r1k1/pp1b1ppp/2nq1n2/2b1p3/7N/1BpP3P/PP1BQPP1/RN2R1K1,0,0,0,0,0,0,14,15,6,7,1,1,2,2,2,2,2,2,1,2,4,6,3,1,0,0,0,0,13,16,5,3,0,0,0,0,0,0,1,0,2,3,6,3,0,0,1,0,4,15,8,10,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O|Re1|Re8|Qe2|Qd6|Be3|d4|Bd2|e5|Nh4|Bd7|c3|dxc3
093f951c-d207-46c5-88fd-2494e1d35a00,29,15,samwheeler7,Nxc3,b1c3,b1,c3,N,White,r3r1k1/pp1b1ppp/2nq1n2/2b1p3/7N/1BNP3P/PP1BQPP1/R3R1K1,0,0,0,0,0,0,14,14,6,6,1,1,2,2,2,2,2,2,2,2,3,6,4,1,0,0,0,0,10,16,8,3,0,0,0,0,0,0,0,0,2,3,6,3,0,0,0,0,4,15,8,10,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O|Re1|Re8|Qe2|Qd6|Be3|d4|Bd2|e5|Nh4|Bd7|c3|dxc3|Nxc3
093f951c-d207-46c5-88fd-2494e1d35a00,30,15,jiit9124,Bd4,c5d4,c5,d4,B,Black,r3r1k1/pp1b1ppp/2nq1n2/4p3/3b3N/1BNP3P/PP1BQPP1/R3R1K1,0,0,0,0,0,0,14,14,6,6,1,1,2,2,2,2,2,2,2,2,3,6,4,1,0,0,0,0,10,16,8,3,0,0,0,0,0,0,0,1,1,3,6,3,0,0,0,3,1,15,8,10,e4|c6|Bc4|d5|exd5|cxd5|Bb3|Nc6|Nf3|e6|O-O|Nf6|h3|Bc5|d3|O-O|Re1|Re8|Qe2|Qd6|Be3|d4|Bd2|e5|Nh4|Bd7|c3|dxc3|Nxc3|Bd4
