game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
1c3aa3d7-8f56-4552-9aaf-07a31929fc09,1,1,imgonnafucyouup,d4,d2d4,d2,d4,P,White,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,7,0,1,0,0,0,0,31,7,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,31,d4
1c3aa3d7-8f56-4552-9aaf-07a31929fc09,2,1,jiit912,d5,d7d5,d7,d5,P,Black,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,7,0,1,0,0,0,0,31,7,0,1,0,0,0,0,0,0,0,0,1,0,7,8,0,0,0,0,1,0,7,31,d4|d5
1c3aa3d7-8f56-4552-9aaf-07a31929fc09,3,2,imgonnafucyouup,c4,c2c4,c2,c4,P,White,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,6,0,2,0,0,0,0,31,6,0,2,0,0,0,0,0,0,0,0,1,0,7,8,0,0,0,0,1,0,7,31,d4|d5|c4
1c3aa3d7-8f56-4552-9aaf-07a31929fc09,4,2,jiit912,c6,c7c6,c7,c6,P,Black,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,6,0,2,0,0,0,0,31,6,0,2,0,0,0,0,0,0,0,0,1,1,6,8,0,0,0,0,1,1,6,31,d4|d5|c4|c6
1c3aa3d7-8f56-4552-9aaf-07a31929fc09,5,3,imgonnafucyouup,Nc3,b1c3,b1,c3,N,White,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,7,6,1,2,0,0,0,0,28,6,3,2,0,0,0,0,0,0,0,0,1,1,6,8,0,0,0,0,1,1,6,31,d4|d5|c4|c6|Nc3
1c3aa3d7-8f56-4552-9aaf-07a31929fc09,6,3,jiit912,Bf5,c8f5,c8,f5,B,Black,rn1qkbnr/pp2pppp/2p5/3p1b2/2PP4/2N5/PP2PPPP/R1BQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,7,6,1,2,0,0,0,0,28,6,3,2,0,0,0,0,0,0,0,0,2,1,6,7,0,0,0,0,4,1,6,28,d4|d5|c4|c6|Nc3|Bf5
1c3aa3d7-8f56-4552-9aaf-07a31929fc09,7,4,imgonnafucyouup,cxd5,c4d5,c4,d5,P,White,rn1qkbnr/pp2pppp/2p5/3P1b2/3P4/2N5/PP2PPPP/R1BQKBNR,0,0,0,0,0,0,16,15,8,7,1,1,2,2,2,2,2,2,1,0,7,6,1,1,1,0,0,0,28,6,3,1,1,0,0,0,0,0,0,0,1,1,6,7,0,0,0,0,3,1,6,28,d4|d5|c4|c6|Nc3|Bf5|cxd5
1c3aa3d7-8f56-4552-9aaf-07a31929fc09,8,4,jiit912,cxd5,c6d5,c6,d5,P,Black,rn1qkbnr/pp2pppp/8/3p1b2/3P4/2N5/PP2PPPP/R1BQKBNR,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,7,6,1,1,0,0,0,0,28,6,3,1,0,0,0,0,0,0,0,0,2,0,6,7,0,0,0,0,4,0,6,28,d4|d5|c4|c6|Nc3|Bf5|cxd5|cxd5
1c3aa3d7-8f56-4552-9aaf-07a31929fc09,9,5,imgonnafucyouup,Qb3,d1b3,d1,b3,Q,White,rn1qkbnr/pp2pppp/8/3p1b2/3P4/1QN5/PP2PPPP/R1B1KBNR,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,6,6,2,1,0,0,0,0,19,6,12,1,0,0,0,0,0,0,0,0,2,0,6,7,0,0,0,0,4,0,6,28,d4|d5|c4|c6|Nc3|Bf5|cxd5|cxd5|Qb3
1c3aa3d7-8f56-4552-9aaf-07a31929fc09,10,5,jiit912,Qc7,d8c7,d8,c7,Q,Black,rn2kbnr/ppq1pppp/8/3p1b2/3P4/1QN5/PP2PPPP/R1B1KBNR,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,6,6,2,1,0,0,0,0,19,6,12,1,0,0,0,0,0,0,0,0,2,0,7,6,0,0,0,0,4,0,15,19,d4|d5|c4|c6|Nc3|Bf5|cxd5|cxd5|Qb3|Qc7
